		coeff	coeffLCI	coeffUCI	OR	ORLCI	ORUCI	dummyp	varp
T0_Sat1	T0 Satisfaction - The visit overall? (constant)	0.82391741174314	0.5388285715974814	1.1090062518887986	2.2794117647058827	1.7139978599384613	3.0313445042843465	1.475663510979922e-08	1.475663510979922e-08
T0_Sat1	Poor	-0.8239174117431398	-1.8445252462952406	0.19669042280896099	0.4387096774193549	0.15810036180775341	1.2173671132734605	0.11359436434438469	0.11359436434438469
T0_Sat1	Fair	0.1646939817106414	-0.4761672159858872	0.80555517940717	1.1790322580645163	0.6211596057469297	2.237938611421986	0.6144804474317804	0.6144804474317804
T0_Sat1	Good	-0.21613008013435164	-0.6510491511761328	0.21878899090742954	0.8056304985337241	0.5214983590325216	1.2445686336804398	0.3300611082659801	0.3300611082659801
T0_Sat1	Very Good	-0.12503955647420983	-0.5089425899672317	0.25886347701881207	0.8824619948090469	0.6011308846921452	1.2954569331122872	0.5232314175490109	0.5232314175490109
T0_Sat2	T0 Satisfaction - The thoroughness, carefulness and competence of the doctor you saw? (constant)	0.7449722484245311	0.49947705422697386	0.9904674426220884	2.1063829787234036	1.6478593042812084	2.6924927641143612	2.7202429716903034e-09	2.7202429716903034e-09
T0_Sat2	Poor	-1.3045880363599538	-2.557349955910257	-0.05182611680965077	0.27128427128427135	0.07750987309906232	0.9494939535274306	0.041246186728723745	0.041246186728723745
T0_Sat2	Fair	0.12002518906207331	-0.7417359647127354	0.9817863428368819	1.1275252525252526	0.47628638109283744	2.669220127951404	0.7848672622410604	0.7848672622410604
T0_Sat2	Good	-0.1544792219246693	-0.6082121980648851	0.29925375421554656	0.8568612958856862	0.5443231416661202	1.3488518568943224	0.5045837687637518	0.5045837687637518
T0_Sat2	Very Good	0.0553195695867417	-0.3004079996848549	0.4110471388583383	1.056878306878307	0.740516028732447	1.508396458969199	0.7605214771879456	0.7605214771879456
T0_Sat3	T0 Satisfaction - The personal manner (courtesy, respect, sensitivity, friendliness) of the doctor you saw? (constant)	0.748129314977298	0.5262904945280562	0.9699681354265397	2.1130434782608685	1.6926417845034398	2.637860403718349	3.848832073961372e-11	3.848832073961372e-11
T0_Sat3	Poor	-0.6145979223527754	-1.652949811826093	0.42375396712054203	0.5408583186360966	0.19148423225869662	1.5276856866348048	0.2460089701239041	0.2460089701239041
T0_Sat3	Fair	0.4558434893486384	-0.4830540237353892	1.3947410024326659	1.5775034293552825	0.6168964954202741	4.033929659354476	0.3413096361277381	0.3413096361277381
T0_Sat3	Good	-0.23730369121130718	-0.7225510622917184	0.2479436798691041	0.788751714677641	0.48551210316047244	1.2813877622352319	0.3378137213126988	0.3378137213126988
T0_Sat3	Very Good	0.011267251123848118	-0.3443447872825504	0.3668792895302467	1.0113309656688658	0.7086845405041671	1.4432236963897855	0.9504834235741307	0.9504834235741307
T0_Sat4	T0 Satisfaction - The length of time you waited between being referred by your doctor and seeing the neurologist today? (constant)	0.5559460590464603	0.16225711381030117	0.9496350042826195	1.7435897435897436	1.1761626100979559	2.584766058579396	0.005644399881806387	0.005644399881806387
T0_Sat4	Poor	0.403469099461449	-0.0915510970306368	0.8984892959535348	1.497008973080757	0.9125146881697677	2.455890184057368	0.11015873420994077	0.11015873420994077
T0_Sat4	Fair	0.08719070093882363	-0.45864313388570077	0.633024535763348	1.0911047345767575	0.6321407942805816	1.8832980762943734	0.7542185242026392	0.7542185242026392
T0_Sat4	Good	0.19782574332991976	-0.3464362242033163	0.7420877108631558	1.2187499999999998	0.7072039203425158	2.100315792622598	0.4762181318749016	0.4762181318749016
T0_Sat4	Very Good	0.011431734224451689	-0.502803970182137	0.5256674386310403	1.0114973262032085	0.6048323479487326	1.6915875025304754	0.9652463319805119	0.9652463319805119
T0_Sat5	T0 Satisfaction - Length of time spent waiting at the clinic today? (constant)	0.6931471805599452	0.231179239110051	1.1551151220098395	1.9999999999999998	1.260085075736843	3.174388838516299	0.003273928501333346	0.003273928501333346
T0_Sat5	Poor	-0.01739174271186921	-0.6602544734646405	0.6254709880409022	0.9827586206896551	0.5167198262752924	1.8691260861844252	0.957712740869367	0.957712740869367
T0_Sat5	Fair	0.4682660093471953	-0.1263141434802808	1.0628461621746714	1.5972222222222232	0.8813379367242024	2.894597771023693	0.12268910163236385	0.12268910163236385
T0_Sat5	Good	0.03974032864951443	-0.4990272672665947	0.5785079245656235	1.0405405405405408	0.6071209389845907	1.7833755138132068	0.8850504119256191	0.8850504119256191
T0_Sat5	Very Good	-0.2876820724517805	-0.8422700108307595	0.2669058659271985	0.7500000000000003	0.43073164731517466	1.3059175092105744	0.3092987878945018	0.3092987878945018
T0_Sat6	T0 Satisfaction - Convenience of the location of the clinic? (constant)	0.7282385003712156	0.44298282101349207	1.0134941797289392	2.071428571428572	1.5573455804932625	2.755211418888524	5.625316323144471e-07	5.625316323144471e-07
T0_Sat6	Poor	0.16557937565088116	-0.6607446074439731	0.9919033587457353	1.1800766283524906	0.5164666263866434	2.6963617349812092	0.6945123000683927	0.6945123000683927
T0_Sat6	Fair	-0.021668299479129294	-0.5078919773461539	0.46455537838789535	0.9785647716682201	0.6017627722629285	1.5913065023099766	0.9303974829275086	0.9303974829275086
T0_Sat6	Good	0.18263216403360036	-0.2937594827838116	0.6590238108510124	1.200372786579683	0.7454557648286048	1.932904532695329	0.4524223433268397	0.4524223433268397
T0_Sat6	Very Good	-0.1254753812795394	-0.5188607177980704	0.26790995523899164	0.8820774797786289	0.5951982606288594	1.307229425554023	0.5318686354650353	0.5318686354650353
T0_Sat7	T0 Satisfaction - Time spent with the doctor you saw? (constant)	0.7457909140453675	0.46913889125293234	1.0224429368378025	2.1081081081081083	1.5986170172565553	2.7799777854847707	1.2665790650411748e-07	1.2665790650411748e-07
T0_Sat7	Poor	-0.13965511047505175	-1.1721293269335122	0.8928191059834086	0.8696581196581197	0.30970677168604555	2.442004225383791	0.7909249125700403	0.7909249125700403
T0_Sat7	Fair	0.21562025310925736	-0.4808115504708379	0.9120520566893526	1.2406311637080867	0.618281421567816	2.4894257383000777	0.5439711520683186	0.5439711520683186
T0_Sat7	Good	-0.0802952648159321	-0.5072408489967513	0.346650319364887	0.9228438228438228	0.6021547246553732	1.4143220778487027	0.7124194615498475	0.7124194615498475
T0_Sat7	Very Good	-0.04108291108434638	-0.419608758393866	0.3374429362251733	0.9597495527728083	0.6573039341617817	1.4013596392394192	0.8315432891002199	0.8315432891002199
T0_Sat8	T0 Satisfaction - Explanation given to you about the cause of your symptoms? (constant)	0.5679840376059396	0.2704874858277486	0.8654805893841306	1.7647058823529418	1.3106031955146993	2.376147763006234	0.00018257089306985977	0.00018257089306985977
T0_Sat8	Poor	0.7403487820442392	-0.018909600694758222	1.4996071647832365	2.096666666666666	0.9812680641847069	4.4799288508014	0.05598525804404612	0.05598525804404612
T0_Sat8	Fair	0.5306282510621699	-0.011019237707294627	1.0722757398316345	1.6999999999999993	0.989041251706248	2.922021700322715	0.05484645420468534	0.05484645420468534
T0_Sat8	Good	0.0826035285352094	-0.3485953835034409	0.5138024405738597	1.0861111111111104	0.7056786017163547	1.6716354198779606	0.7073149450490075	0.7073149450490075
T0_Sat8	Very Good	0.0746108637911743	-0.3389885833266469	0.4882103109089955	1.0774647887323938	0.7124905833150157	1.6293974940085019	0.7236643329559167	0.7236643329559167
