		coeff	coeffLCI	coeffUCI	OR	ORLCI	ORUCI	p
T0_Sat8	constant	1.0938115388845349	0.22887712304280117	1.9587459547262687	2.9856322661914185	1.257187550137683	7.090429767576902	0.01318970888632925
T0_Sat8	Binned Ages - 36-45	0.3859780488567479	0.061698780422134336	0.7102573172913615	1.4710523791788186	1.063641906703216	2.034514707111361	0.01965469450379485
T0_Sat8	Binned Ages - 46-55	0.2910640129475642	-0.033347867723069524	0.6154758936181979	1.3378502209451097	0.9672020426884034	1.8505370488133888	0.07866420590312721
T0_Sat8	Binned Ages - >=56	0.13240865428513235	-0.1541995027973377	0.4190168113676024	1.1415747333662731	0.8571010099043507	1.5204659156867741	0.3652144033023754
T0_Sat8	T0 Patient gender - Female	-0.21577608613556798	-0.4322281945660065	0.0006760222948705152	0.8059157373788832	0.6490612475349637	1.0006762508494418	0.050719830597219906
T0_Sat8	T0 SF12 Physical Functioning Scale - 0.0	1.0911719348055604	0.6928678174522648	1.4894760521588561	2.9777617711484834	1.9994413518211178	4.434771321317884	7.899510564792566e-08
T0_Sat8	T0 SF12 Physical Functioning Scale - 25.0	0.7772035450732113	0.3446500357385375	1.209757054407885	2.175380398419496	1.4114958601148657	3.3526700371920737	0.00042891150749889396
T0_Sat8	T0 SF12 Physical Functioning Scale - 50.0	0.2228219847067236	-0.08201373968482117	0.5276577090982684	1.2495981063618924	0.9212593007969595	1.6949575717416525	0.15195773088561268
T0_Sat8	T0 SF12 Physical Functioning Scale - 75.0	0.2893356613333975	-0.01687350838145646	0.5955448310482514	1.3355399424181418	0.9832680519363848	1.8140190096501303	0.0640314067502218
T0_Sat8	T0 SIMD 2004 Quintile - Binned - 5 (Most Deprived)	-0.02576333525803867	-0.31910735959315967	0.2675806890770824	0.9745657076598199	0.7267975164319508	1.3067990699929863	0.8633302300133533
T0_Sat8	T0 Satisfaction - Explanation given to you about the cause of your symptoms? - Fair	-0.23498507336363275	-1.1541136346163408	0.6841434878890753	0.7905826502804023	0.3153369167960272	1.9820734383874057	0.6163107321663892
T0_Sat8	T0 Satisfaction - Explanation given to you about the cause of your symptoms? - Good	-0.3838138657946926	-1.25067460527831	0.4830468736889248	0.6812582208364073	0.2863115843903705	1.6210058857569456	0.38550408016875926
T0_Sat8	T0 Satisfaction - Explanation given to you about the cause of your symptoms? - Very Good	-0.4009502203714074	-1.2584554855470613	0.4565550448042467	0.6696833967989742	0.28409247274945787	1.5786263099752194	0.35943869097720416
T0_Sat8	T0 Satisfaction - Explanation given to you about the cause of your symptoms? - Excellent	-0.32181288770156546	-1.1774346802496989	0.533808904846568	0.7248338029609668	0.30806801876326106	1.705415719632345	0.46101687626116883
