		coeff	coeffLCI	coeffUCI	OR	ORLCI	ORUCI	p	llrp
constant	constant	-0.7967948538380911	-1.4488716706188303	-0.14471803705735187	0.4507714395594356	0.23483511001688565	0.8652662317311725	0.01662278174542812	1.0
AgeBins	Binned Ages - 36-45	0.4101854917005182	-0.04781199646283102	0.8681829798638674	1.5070973132304566	0.9533129964463404	2.382577726322133	0.07919837656309418	0.1369831715897527
AgeBins	Binned Ages - 46-55	0.5104711750928217	0.015466225352103458	1.00547612483354	1.666076023560568	1.015586446404415	2.733208311425263	0.04325883286816796	0.1369831715897527
AgeBins	Binned Ages - >=56	0.47665263051531126	-0.019307476769341192	0.9726127377999637	1.6106738479220033	0.9808777187589178	2.644845728234447	0.059610496370671874	0.1369831715897527
Gender	T0 Patient gender - Female	0.028240232644178277	-0.3499165947783333	0.4063970600666899	1.0286427683135753	0.7047468668361675	1.5013985795410334	0.8836313459627874	0.8836738250501913
Diagnosis	T0 Neurologist assigned explanation of symptoms by organic disease - Somewhat explained	0.07595855846082405	-0.27122072784414375	0.42313784476579186	1.0789178612139905	0.7624481842861743	1.5267447352325998	0.6680571213649609	0.6682959867019875
T0_PHQ13_Binned	T0 PHQ13 - Binned - 3-5	0.08049351606256334	-0.4053889619616331	0.5663759940867598	1.0838218191866	0.6667174326971484	1.7618704388648199	0.7454107021559881	0.6216228605530401
T0_PHQ13_Binned	T0 PHQ13 - Binned - 6-8	0.21828403347265088	-0.315248979585281	0.7518170465305828	1.243940338140373	0.7296071943560318	2.120850201070928	0.422623036070782	0.6216228605530401
T0_PHQ13_Binned	T0 PHQ13 - Binned - 9-13	-0.14064350251437466	-0.8372661294982728	0.5559791244695236	0.8687989811484912	0.4328923788781388	1.7436473970754274	0.6923235741799603	0.6216228605530401
T0_SF12_PF	T0 SF12 Physical Functioning Scale - 0.0	0.298410582813953	-0.3850642677195391	0.9818854333474452	1.3477150229239003	0.6804069065991559	2.6694846354415627	0.3921438548810827	0.9250682555225455
T0_SF12_PF	T0 SF12 Physical Functioning Scale - 25.0	0.23372544042369262	-0.48844014806000835	0.9558910289073935	1.263297594135667	0.6135827463438489	2.600987105420689	0.525863541504745	0.9250682555225455
T0_SF12_PF	T0 SF12 Physical Functioning Scale - 50.0	0.13024382606184226	-0.40110756042401874	0.6615952125477033	1.1391060932195212	0.6695780370669591	1.9378812024565881	0.630926935878557	0.9250682555225455
T0_SF12_PF	T0 SF12 Physical Functioning Scale - 75.0	0.05938621717643863	-0.45160712553067794	0.5703795598835553	1.0611850094832436	0.6366042261489947	1.7689383420593086	0.8198160840364033	0.9250682555225455
T0_HADS_Binned	T0 HADS - Binned - 8-14	-0.2922133121874129	-0.7369396173461132	0.1525129929712874	0.7466092581320138	0.478576303263677	1.1647575956582963	0.19780852102211366	0.04141326343033813
T0_HADS_Binned	T0 HADS - Binned - 15-21	0.38480867509989125	-0.16984582806199866	0.9394631782617812	1.4693331745239568	0.843794896063226	2.5586075334531033	0.17389781609686084	0.04141326343033813
T0_HADS_Binned	T0 HADS - Binned - >=22	0.3052101636244395	-0.3838014870526965	0.9942218143015755	1.3569101461961748	0.6812666540083516	2.7026203822204877	0.38528404929349214	0.04141326343033813
T0_NegExpectation	T0 IPQ1 - Agree or Strongly agree (>3) - Negative Expectation	0.7127785946207617	0.3395384924323043	1.086018696809219	2.0396507548984038	1.404299346214675	2.962456126730734	0.00018186984111344818	0.00014064667620350413
T0_PsychAttribution	T0 Causal Attribution - Strongly agree or agree to stress & worry or emotional factors (df['T0_C7'] > 3) | (df['T0_C8'] > 3) - No Psychological Attribution	0.7970182948573011	0.41375901227541645	1.1802775774391858	2.218914904993956	1.51249259081389	3.2552776691321834	4.5836384704167136e-05	3.59937412671707e-05
T0_IllnessWorry	T0 Whiteley Index - Sum of (T0_Wserious, T0_Wseriousworry, T0_Wattention) - 1.0	0.21679452489418205	-0.22539479695326853	0.6589838467416327	1.2420888575760147	0.7982010292111059	1.932827287430693	0.3365913730004524	0.5375591233927548
T0_IllnessWorry	T0 Whiteley Index - Sum of (T0_Wserious, T0_Wseriousworry, T0_Wattention) - 2.0	0.056002712604030884	-0.45956530330069545	0.5715707285087572	1.0576005525842422	0.6315581220766601	1.7710467013687237	0.8314066732447789	0.5375591233927548
T0_IllnessWorry	T0 Whiteley Index - Sum of (T0_Wserious, T0_Wseriousworry, T0_Wattention) - 3.0	0.4338528790099741	-0.24467844502986386	1.1123842030498121	1.543191815507097	0.7829562612455104	3.0416015521221373	0.21013262853153092	0.5375591233927548
T0_IncapacityBenefitorDLA	T0 Socioeconomic - Are you currently receiving incapacity benefit or disability living allowance? - Yes	0.8337715332976395	0.31242800290498274	1.3551150636902962	2.3019843993941405	1.3667395363551456	3.8772070567197146	0.00172135008766729	0.001378247636535046
T0_SIMD04_bin	T0 SIMD 2004 Quintile - Binarised - 4-5 (Most Deprived)	-0.01769617019744476	-0.3945742347088415	0.35918189431395203	0.9824594874883252	0.6739669298966323	1.4321572791470074	0.926674693317722	0.9266862429275704
